item_nr,word,pseudoword,word_ZipfSUBTLEX,word_fpmwSUBTLEX,word_len,pseudoword_statistics_overlap_ratio,pseudoword_statistics_plain_length,pseudoword_statistics_lexicality,pseudoword_statistics_ned1,pseudoword_statistics_old20,pseudoword_statistics_overlap,pseudoword_statistics_transition_frequencies_0,pseudoword_statistics_transition_frequencies_1,pseudoword_statistics_transition_frequencies_2,pseudoword_statistics_transition_frequencies_3,pseudoword_statistics_transition_frequencies_4,pseudoword_statistics_transition_frequencies_5,pseudoword_statistics_transition_frequencies_6,pseudoword_difference_statistics_plain_length,pseudoword_difference_statistics_ned1,pseudoword_difference_statistics_old20,pseudoword_difference_statistics_transition_frequencies_0,pseudoword_difference_statistics_transition_frequencies_1,pseudoword_difference_statistics_transition_frequencies_2,pseudoword_difference_statistics_transition_frequencies_3,pseudoword_difference_statistics_transition_frequencies_4,pseudoword_difference_statistics_transition_frequencies_5,pseudoword_difference_statistics_transition_frequencies_6
89,fickst,feckst,3.45,2.818382931264455,6,2/3,4,N,12,1.4,2,113,18,21,71,0,3,-0.05000000000000004,0,3,2,0,NA,NA,NA,NA,NA,NA
90,fixiert,riviert,3.5,3.1622776601683795,7,2/3,5,N,1,1.95,4,1088,86,698,136,43,272,773,0,-4,0.30000000000000004,109,-21,0,37,35,0,0
91,fortbleiben,lollspeiben,2.29,0.19498445997580455,11,2/3,9,N,0,4.6,6,1667,383,384,3,68,4202,2402,2698,18662,19387,0,-4,2.6499999999999995,9,-69,-109,"-19,-61,0,0,0,0,0"
92,füttere,räntere,3.41,2.570395782768865,7,2/3,5,N,1,1.95,6,1584,74,207,610,2676,10725,5947,5896,18486,21748,0,-4,0.30000000000000004,-74,-11,150,"-179,0,0,0,0,0,0"
93,garstiges,wafspiges,2.44,0.2754228703338166,9,2/3,7,N,0,3,6,2265,300,254,72,124,7174,6581,8586,6414,6962,0,-5,1.35,58,183,-504,"-512,-449,0,0,0,0,0"
94,gefallen,werillen,5.3,199.52623149688787,8,2/3,6,N,0,2.35,6,2265,867,8888,2194,1048,550,1514,4393,18662,19387,0,-5,0.7000000000000002,58,-1004,0,"889,79,-589,0,0,0,0"
95,gesprochen,peschüchen,5,100,10,2/3,8,N,0,3.2,6,679,113,8888,859,172,1382,3346,3590,18662,19387,0,-1,1.1500000000000004,-1528,-1758,0,"678,158,-1552,0,0,0,0"
96,gleichwertig,Klauchrertig,2.71,0.5128613839913648,12,2/3,10,N,0,4.9,6,156,1,108,86,997,5218,3202,805,991,1129,0,-1,2.45,-97,-74,-99,"-97,7,0,0,0,0,0"
97,haltmachen,höfflachen,2.29,0.19498445997580455,10,2/3,8,N,1,2.65,6,2773,98,14,32,970,5862,3346,3590,18662,19387,0,-4,0.7999999999999998,0,-233,-125,"-8,-222,0,0,0,0,0"
98,hinlege,horfege,2.67,0.4677351412871981,7,2/3,5,N,0,2.75,6,2773,488,2008,493,1152,10725,6581,8586,18486,21748,0,-5,1.1,0,-172,361,"69,-338,0,0,0,0,0"
